Temperature (K),Pression (Pa),Altitude above local surface (m),Monthly mean surface H2O layer (kg/m2),Monthly mean surface CO2 ice layer (kg/m2),Water vapor column (kg/m2),Water ice column (kg/m2),Water ice mixing ratio (mol/mol),Water ice effective radius (m),GCM perennial surface water ice (0 or 1),H column (kg/m2),H2 column (kg/m2),Electron number density (m-3),Total electronic content
196.638,468.672,10.0,0.00639105,0.0,0.00319506,0.000836594,7.1693e-05,1.37915e-05,0.0,6.66994e-09,0.000151381,0.837839,31448000000.0
206.553,456.263,10.0,7.11801e-07,0.0,0.00430527,0.000290674,1.59808e-05,1.64898e-05,0.0,6.69915e-09,0.000146087,0.756015,21589000000.0
213.743,463.916,10.0,9.63474e-11,0.0,0.00502771,1.82809e-05,3.62561e-07,0.0,0.0,6.88699e-09,0.000147583,0.720246,15467800000.0
217.796,416.246,10.0,1.55486e-13,0.0,0.00476418,1.03504e-05,2.46306e-10,0.0,0.0,7.16629e-09,0.000130761,0.597038,11568600000.0
220.025,489.67,10.0,1.8124e-16,0.0,0.0066173,1.27937e-05,6.21355e-14,0.0,0.0,7.50256e-09,0.000153675,0.615241,9253040000.0
222.539,444.552,10.0,2.30615e-20,0.0,0.00638861,1.85174e-05,3.08178e-17,0.0,0.0,7.81793e-09,0.0001385,0.478408,7638030000.0
226.49,431.838,10.0,0.0,0.0,0.00659714,2.62165e-05,4.30624e-20,0.0,0.0,8.0779e-09,0.000134278,0.411721,6604910000.0
230.679,497.793,10.0,0.0,0.0,0.00866429,3.37487e-05,0.0,0.0,0.0,8.30052e-09,0.000155733,0.435595,6390170000.0
233.705,571.586,10.0,0.0,0.0,0.0111132,4.26035e-05,0.0,0.0,0.0,8.51132e-09,0.000178401,0.464732,6387800000.0
234.876,575.579,10.0,0.0,0.0,0.0124136,5.88425e-05,0.0,0.0,0.0,8.65806e-09,0.000179613,0.443641,6037110000.0
236.482,613.796,10.0,0.0,0.0,0.0150312,8.86115e-05,0.0,0.0,0.0,8.68487e-09,0.00019074,0.446594,5767750000.0
237.551,631.264,10.0,0.0,0.0,0.0174278,0.00012564,0.0,0.0,0.0,8.58859e-09,0.00019391,0.42961,5535260000.0
238.027,648.907,10.0,0.0,0.0,0.0196504,0.000153092,0.0,0.0,0.0,8.40612e-09,0.000196369,0.408281,5226100000.0
238.788,644.411,10.0,0.0,0.0,0.0205123,0.000163759,0.0,0.0,0.0,8.1837e-09,0.000192681,0.371206,4965870000.0
239.598,647.556,10.0,0.0,0.0,0.0212923,0.00016665,0.0,0.0,0.0,7.97715e-09,0.000192073,0.342271,4820970000.0
240.311,670.792,10.0,0.0,0.0,0.0229596,0.00018319,0.0,0.0,0.0,7.81271e-09,0.000197604,0.328833,4747760000.0
240.657,709.951,10.0,0.0,0.0,0.0254862,0.000176174,0.0,0.0,0.0,7.68148e-09,0.0002077,0.325879,4699470000.0
240.547,684.913,10.0,0.0,0.0,0.0256176,0.000117597,0.0,0.0,0.0,7.56045e-09,0.000199353,0.295433,4660320000.0
239.763,699.317,10.0,0.0,0.0,0.0281564,5.07452e-05,0.0,0.0,0.0,7.44847e-09,0.000202506,0.284719,4674150000.0
238.193,708.987,10.0,4.32851e-21,0.0,0.031477,2.15077e-05,4.33665e-18,0.0,0.0,7.36523e-09,0.00020442,0.274949,4769580000.0
236.784,708.003,10.0,2.40186e-18,0.0,0.0342666,2.19022e-05,1.6503e-15,0.0,0.0,7.3769e-09,0.000203522,0.264651,4989940000.0
235.185,719.223,10.0,2.12816e-16,0.0,0.0370362,3.5926e-05,4.09743e-14,0.0,0.0,7.55426e-09,0.000206246,0.263477,5353550000.0
233.551,719.901,10.0,5.53999e-16,0.0,0.0383359,6.34763e-05,1.66781e-13,0.0,0.0,7.9813e-09,0.000206162,0.260516,5770880000.0
232.825,723.897,10.0,2.24357e-11,0.0,0.0393708,0.00011068,3.14513e-11,0.0,0.0,8.72294e-09,0.000206833,0.259111,6228420000.0
232.666,726.383,10.0,1.21939e-10,0.0,0.0393551,0.000203287,4.99242e-10,0.0,0.0,9.83303e-09,0.000206948,0.259176,6787770000.0
231.598,723.92,10.0,9.51309e-08,0.0,0.0374103,0.000381673,1.92381e-06,6.00193e-06,0.0,1.13728e-08,0.000205665,0.260875,7517210000.0
229.489,732.655,10.0,1.87321e-05,0.0,0.0347654,0.000727833,5.73363e-06,1.30615e-05,0.0,1.33416e-08,0.000207241,0.26899,8374550000.0
227.058,730.16,10.0,0.000239102,0.0,0.0309773,0.00129462,1.34875e-05,8.66225e-06,0.0,1.56078e-08,0.00020511,0.271156,9226530000.0
224.893,744.089,10.0,0.00072159,0.0,0.0294674,0.00233452,2.69972e-05,1.81779e-05,0.0,1.7916e-08,0.000207,0.274344,9939490000.0
222.814,759.272,10.0,0.0021905,0.0,0.0307808,0.00364538,3.96203e-05,1.53997e-05,0.0,1.99603e-08,0.000208981,0.271141,10339100000.0
218.679,768.326,10.0,0.0109052,0.0,0.0326198,0.00481765,6.00042e-05,1.26323e-05,0.0,2.15077e-08,0.000209697,0.266606,10390100000.0
217.16,765.074,10.0,0.023394,0.0,0.0347346,0.00549806,6.78444e-05,8.17188e-06,0.0,2.24693e-08,0.00020767,0.259696,10151100000.0
209.973,721.721,10.0,6.94135,0.0,0.0317855,0.00568983,0.000103548,8.58948e-06,0.0,2.27923e-08,0.000195424,0.247292,9747610000.0
205.935,649.316,10.0,0.19024,0.0,0.0293107,0.00527406,0.000116308,2.88749e-05,1.0,2.27106e-08,0.000175381,0.224162,9119730000.0
202.195,579.298,10.0,0.0358143,0.0,0.0238235,0.00461925,0.000134775,2.74864e-05,1.0,2.30907e-08,0.000156518,0.205107,8788960000.0
141.112,294.773,10.0,3.23983,2628.9,1.01037e-06,2.25081e-05,6.06388e-06,5.18135e-06,0.0,2.41153e-08,0.000208238,1.11366,14094500000.0
141.808,341.914,10.0,0.0214066,693.109,1.04563e-06,4.95671e-05,9.36079e-06,5.73484e-06,0.0,2.30293e-08,0.000249228,1.36059,14640200000.0
142.253,336.524,10.0,0.0299007,653.304,1.23933e-06,6.02908e-05,9.59769e-06,5.94703e-06,0.0,2.25673e-08,0.000212853,1.26543,17687400000.0
143.259,365.111,10.0,0.0528533,643.2,1.63851e-06,0.00010689,1.23768e-05,5.47288e-06,0.0,2.18785e-08,0.00020493,1.34044,25668900000.0
144.428,388.992,10.0,0.0696135,654.355,2.35374e-06,0.000172142,1.68532e-05,5.26928e-06,0.0,2.10485e-08,0.00019183,1.32829,40657600000.0
146.377,466.795,10.0,0.0607111,595.569,3.93183e-06,0.000305965,2.09988e-05,5.59491e-06,0.0,1.97855e-08,0.000208533,1.32924,61622100000.0
147.708,436.8,10.0,0.0262515,525.571,7.63944e-06,0.000343514,2.14651e-05,6.12593e-06,0.0,1.79317e-08,0.000177344,0.858359,79956500000.0
148.265,421.023,10.0,0.0253991,407.425,1.80366e-05,0.000389675,2.03099e-05,6.74341e-06,0.0,1.54048e-08,0.000160117,0.619555,89884000000.0
148.263,425.885,10.0,0.0238819,261.581,4.5833e-05,0.000462034,2.00327e-05,7.69771e-06,0.0,1.25821e-08,0.000153042,0.465015,93794600000.0
150.572,443.551,10.0,0.0246102,144.771,0.000139718,0.000592979,2.81614e-05,8.8064e-06,0.0,1.01307e-08,0.000153185,0.336336,87758200000.0
161.552,407.669,10.0,0.0278295,26.048,0.000364785,0.000551337,3.65027e-05,1.06257e-05,0.0,8.47554e-09,0.000135216,0.359466,75661800000.0
180.627,509.023,10.0,0.0195907,0.0,0.0010283,0.000849457,4.37724e-05,1.27602e-05,0.0,7.53071e-09,0.000169048,0.970911,61613200000.0
190.562,485.694,10.0,0.00904096,0.0,0.00204646,0.000878916,4.94215e-05,1.3429e-05,0.0,7.00239e-09,0.000158556,0.91626,43650700000.0
199.887,452.378,10.0,2.04328e-05,0.0,0.00310572,0.00046235,2.53396e-05,1.02724e-05,0.0,6.77426e-09,0.000145546,0.811368,30787100000.0
207.035,482.227,10.0,1.11174e-07,0.0,0.00434723,0.00013124,4.93393e-06,1.31421e-05,0.0,6.78555e-09,0.000154587,0.816232,21943000000.0
214.431,392.299,10.0,2.4533e-09,0.0,0.00393921,1.30655e-05,4.18818e-08,0.0,0.0,6.96911e-09,0.000123364,0.61759,14997100000.0
219.132,388.309,10.0,8.55927e-14,0.0,0.00444906,9.66024e-06,2.35593e-12,0.0,0.0,7.28089e-09,0.0001213,0.5385,11093500000.0
221.932,434.06,10.0,4.01514e-16,0.0,0.00591289,1.17704e-05,7.0516e-14,0.0,0.0,7.63327e-09,0.000135338,0.505314,8923480000.0
224.218,450.603,10.0,9.31202e-21,0.0,0.00677249,1.81715e-05,1.16643e-17,0.0,0.0,7.95266e-09,0.000140185,0.459667,7635340000.0
227.341,469.099,10.0,0.0,0.0,0.00745764,2.62908e-05,0.0,0.0,0.0,8.22645e-09,0.00014588,0.439568,6925610000.0
231.09,501.132,10.0,0.0,0.0,0.00863144,3.42062e-05,0.0,0.0,0.0,8.47919e-09,0.000156018,0.436974,6446320000.0
235.241,515.857,10.0,0.0,0.0,0.00987443,4.33762e-05,0.0,0.0,0.0,8.71306e-09,0.000160979,0.416256,6181390000.0
236.8,624.744,10.0,0.0,0.0,0.0140667,5.89923e-05,0.0,0.0,0.0,8.87979e-09,0.000194703,0.470871,6110200000.0
236.448,657.85,10.0,0.0,0.0,0.0169407,8.59366e-05,0.0,0.0,0.0,8.89305e-09,0.000203817,0.469225,5916590000.0
236.457,657.787,10.0,0.0,0.0,0.0189154,0.000120553,0.0,0.0,0.0,8.75531e-09,0.000201396,0.443141,5587080000.0
237.669,665.909,10.0,0.0,0.0,0.0204872,0.00014829,0.0,0.0,0.0,8.51396e-09,0.000201184,0.417366,5263350000.0
239.503,662.137,10.0,0.0,0.0,0.0210776,0.000158067,0.0,0.0,0.0,8.24078e-09,0.000198084,0.3813,5050900000.0
240.751,666.231,10.0,0.0,0.0,0.0218893,0.000149777,0.0,0.0,0.0,8.00004e-09,0.00019786,0.353588,4921530000.0
241.747,675.083,10.0,0.0,0.0,0.0231065,0.000135887,0.0,0.0,0.0,7.80082e-09,0.000199129,0.331908,4818160000.0
242.393,678.771,10.0,0.0,0.0,0.0243615,0.000110886,0.0,0.0,0.0,7.62991e-09,0.000198886,0.309677,4767640000.0
242.245,696.958,10.0,0.0,0.0,0.0265025,6.66819e-05,0.0,0.0,0.0,7.48064e-09,0.000202772,0.295505,4724180000.0
241.449,701.319,10.0,0.0,0.0,0.0288183,2.90452e-05,0.0,0.0,0.0,7.34822e-09,0.000202846,0.27842,4705320000.0
239.904,706.968,10.0,9.17811e-22,0.0,0.0320232,1.43724e-05,9.45676e-19,0.0,0.0,7.25993e-09,0.00020356,0.267603,4790470000.0
237.798,711.313,10.0,1.58763e-17,0.0,0.0344625,1.39362e-05,5.96561e-15,0.0,0.0,7.27602e-09,0.000204309,0.263114,5009190000.0
235.951,715.563,10.0,1.43687e-15,0.0,0.0358313,2.16951e-05,1.55565e-13,0.0,0.0,7.46422e-09,0.000205321,0.262253,5343230000.0
234.515,717.289,10.0,4.13155e-15,0.0,0.0367333,4.05485e-05,8.78752e-13,0.0,0.0,7.89717e-09,0.000205604,0.260489,5733940000.0
233.74,717.265,10.0,9.72823e-14,0.0,0.0374727,6.99698e-05,3.62957e-12,0.0,0.0,8.6342e-09,0.000205198,0.25762,6167800000.0
233.357,725.791,10.0,2.03103e-12,0.0,0.0382297,0.000129026,8.11546e-12,0.0,0.0,9.73346e-09,0.000206929,0.258954,6690860000.0
231.896,723.459,10.0,1.13614e-09,0.0,0.0368327,0.000271419,1.99817e-07,0.0,0.0,1.1246e-08,0.000205597,0.259583,7365630000.0
230.088,729.489,10.0,1.58935e-05,0.0,0.0345463,0.000606566,2.92436e-06,7.3717e-06,0.0,1.31615e-08,0.000206273,0.265172,8197890000.0
